,Applicant_ID,Owned_Car,Owned_Realty,Total_Children,Total_Income,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
0,5008806,1,1,0,112500,1,0,0,0,2,59,4,0,30,1
1,5008808,0,1,0,270000,1,0,1,1,1,53,9,0,5,1
2,5008809,0,1,0,270000,1,0,1,1,1,53,9,0,5,1
3,5008810,0,1,0,270000,1,0,1,1,1,53,9,0,27,1
4,5008811,0,1,0,270000,1,0,1,1,1,53,9,0,39,1
5,5008815,1,1,0,270000,1,1,1,1,2,47,3,0,6,1
6,5008819,1,1,0,135000,1,0,0,0,2,49,4,0,8,1
7,5008820,1,1,0,135000,1,0,0,0,2,49,4,0,9,1
8,5008821,1,1,0,135000,1,0,0,0,2,49,4,0,9,1
9,5008822,1,1,0,135000,1,0,0,0,2,49,4,0,9,1
10,5008823,1,1,0,135000,1,0,0,0,2,49,4,0,5,1
11,5008824,1,1,0,135000,1,0,0,0,2,49,4,0,4,1
12,5008825,1,0,0,130500,1,0,0,0,2,30,4,1,25,1
13,5008826,1,0,0,130500,1,0,0,0,2,30,4,7,23,1
14,5008830,0,1,0,157500,1,0,1,0,2,28,5,2,30,1
15,5008831,0,1,0,157500,1,0,1,0,2,28,5,2,18,1
16,5008832,0,1,0,157500,1,0,1,0,2,28,5,2,33,1
17,5008836,1,1,3,270000,1,0,0,0,5,35,4,0,17,1
18,5008837,1,1,3,270000,1,0,0,0,5,35,4,0,17,1
19,5008838,0,1,1,405000,1,0,0,0,3,33,6,0,31,1
20,5008839,0,1,1,405000,1,0,0,0,3,33,6,0,14,1
21,5008840,0,1,1,405000,1,0,0,0,3,33,6,0,56,1
22,5008841,0,1,1,405000,1,0,0,0,3,33,6,0,5,1
23,5008842,0,1,1,405000,1,0,0,0,3,33,6,0,9,1
24,5008843,0,1,1,405000,1,0,0,0,3,33,6,0,30,1
25,5008844,1,1,0,112500,1,0,1,0,2,57,13,0,33,1
26,5008846,1,1,0,112500,1,0,1,0,2,57,13,0,12,1
27,5008847,1,1,0,112500,1,0,1,0,2,57,13,0,33,1
28,5008849,1,1,0,112500,1,0,1,0,2,57,13,0,12,1
29,5008850,1,1,0,112500,1,0,1,0,2,57,13,0,26,1
30,5008851,1,1,0,112500,1,0,1,0,2,57,13,0,12,1
31,5008852,1,1,0,112500,1,0,1,0,2,57,13,0,1,1
32,5008853,1,1,0,112500,1,0,1,0,2,57,13,0,16,1
33,5008854,1,1,2,135000,1,0,0,0,4,44,9,0,2,1
34,5008855,1,1,2,135000,1,0,0,0,4,44,9,0,29,1
35,5008856,1,1,2,135000,1,0,0,0,4,44,9,0,4,1
36,5008857,1,1,2,135000,1,0,0,0,4,44,9,0,28,1
37,5008858,1,1,2,135000,1,0,0,0,4,44,9,0,11,1
38,5008859,1,1,2,135000,1,0,0,0,4,44,9,0,5,1
39,5008860,1,1,2,135000,1,0,0,0,4,44,9,0,4,1
40,5008861,1,1,2,135000,1,0,0,0,4,44,9,0,4,1
41,5008862,1,1,2,135000,1,0,0,0,4,44,9,0,3,1
42,5008863,1,1,2,135000,1,0,0,0,4,44,9,0,2,1
43,5008864,1,1,2,135000,1,0,0,0,4,44,9,0,3,1
44,5008865,1,1,2,135000,1,0,0,0,4,44,9,0,2,1
45,5008866,1,1,2,135000,1,0,0,0,4,44,9,0,2,1
46,5008867,1,1,2,135000,1,0,0,0,4,44,9,0,4,1
47,5008868,0,1,1,211500,1,0,0,0,3,45,20,0,25,1
48,5008870,0,1,1,211500,1,0,0,0,3,45,20,0,12,1
49,5008872,1,1,0,360000,1,0,1,0,2,46,15,1,10,1
50,5008873,0,1,2,126000,1,0,0,1,4,34,5,0,22,1
51,5008874,0,1,2,126000,1,0,0,1,4,34,5,0,46,1
52,5008875,0,1,2,126000,1,0,0,1,4,34,5,0,40,1
53,5008876,0,1,2,126000,1,0,0,1,4,34,5,0,44,1
54,5008877,0,1,2,126000,1,0,0,1,4,34,5,0,8,1
55,5008878,0,1,2,126000,1,0,0,1,4,34,5,3,9,1
56,5008879,0,1,2,126000,1,0,0,1,4,34,5,0,22,1
57,5008880,0,1,2,126000,1,0,0,1,4,34,5,0,11,1
58,5008881,0,1,2,126000,1,0,0,1,4,34,5,0,20,1
59,5008882,0,1,2,126000,1,0,0,1,4,34,5,0,40,1
60,5008888,0,1,0,247500,1,0,0,0,1,47,4,0,6,1
61,5008889,0,1,0,247500,1,0,0,0,1,47,4,0,5,1
62,5008890,0,1,0,247500,1,0,0,0,1,47,4,0,6,1
63,5008891,0,1,0,297000,1,0,0,0,1,43,9,0,8,1
64,5008892,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
65,5008893,0,1,0,297000,1,0,0,0,1,43,9,0,37,1
66,5008894,0,1,0,297000,1,0,0,0,1,43,9,0,37,1
67,5008895,0,1,0,297000,1,0,0,0,1,43,9,0,35,1
68,5008896,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
69,5008897,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
70,5008898,0,1,0,297000,1,0,0,0,1,43,9,0,21,1
71,5008899,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
72,5008900,0,1,0,297000,1,0,0,0,1,43,9,0,21,1
73,5008901,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
74,5008902,0,1,0,297000,1,0,0,0,1,43,9,1,20,1
75,5008903,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
76,5008904,0,1,0,297000,1,0,0,0,1,43,9,1,20,1
77,5008905,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
78,5008906,0,1,0,297000,1,0,0,0,1,43,9,1,20,1
79,5008907,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
80,5008908,0,1,0,297000,1,0,0,0,1,43,9,1,20,1
81,5008909,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
82,5008910,0,1,0,297000,1,0,0,0,1,43,9,1,20,1
83,5008911,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
84,5008912,0,1,0,297000,1,0,0,0,1,43,9,1,20,1
85,5008913,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
86,5008914,0,1,0,297000,1,0,0,0,1,43,9,1,18,1
87,5008915,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
88,5008916,0,1,0,297000,1,0,0,0,1,43,9,1,17,1
89,5008917,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
90,5008918,0,1,0,297000,1,0,0,0,1,43,9,1,16,1
91,5008919,0,1,0,297000,1,0,0,0,1,43,9,0,16,1
92,5008920,0,1,0,297000,1,0,0,0,1,43,9,1,15,1
93,5008921,0,1,0,297000,1,0,0,0,1,43,9,0,14,1
94,5008922,0,1,0,297000,1,0,0,0,1,43,9,1,13,1
95,5008923,0,1,0,297000,1,0,0,0,1,43,9,0,13,1
96,5008924,0,1,0,297000,1,0,0,0,1,43,9,0,13,1
97,5008925,0,1,0,297000,1,0,0,0,1,43,9,0,13,1
98,5008926,0,1,0,297000,1,0,0,0,1,43,9,1,11,1
99,5008927,0,1,0,297000,1,0,0,0,1,43,9,0,10,1
100,5008928,0,1,0,297000,1,0,0,0,1,43,9,1,9,1
101,5008929,0,1,0,297000,1,0,0,0,1,43,9,0,8,1
102,5008930,0,1,0,297000,1,0,0,0,1,43,9,0,7,1
103,5008931,0,1,0,297000,1,0,0,0,1,43,9,0,6,1
